file_name,fleetsize,price1,price2,spacing,optout,demfact,devfact,area_size,arrival_frequency,groups,run_seed,nr_travellers,nr_mode0,nr_mode1,nr_mode2,nr_mode3,nr_mode4,demand,demand_pk,demand_offpk,served,served_pk,served_offpk,service_ratio,service_ratio_pk,service_ratio_offpk,MS_demand,MS_demand_pk,MS_demand_offpk,MS_served,MS_served_pk,MS_served_offpk,punctuality,punctuality_pk,punctuality_offpk,punctuality_served,punctuality_served_pk,punctuality_served_offpk,wait_avg,wait_avg_pk,wait_avg_offpk,wait_served_avg,wait_served_avg_pk,wait_served_avg_offpk,walk_avg,walk_avg_pk,walk_avg_offpk,walk_served_avg,walk_served_avg_pk,walk_served_avg_offpk,dev_avg,dev_avg_pk,dev_avg_offpk,nr_of_routes,zero_time,tot_use_time,use_time_ratio,avg_veh_use_time,avg_idle_time,fraction_idle_time,tot_distance,tot_deadheading_distance,tot_shared_distance,tot_non_shared_dist,avg_deadheading_distance,avg_direct_distance,avg_trip_distance,avg_route_distance,avg_direct_ride_time,avg_trip_duration,load_factor,consolidated_dropoffs,fraction_consolidated_dropoffs,transportation_dist,effective_transport_dist,transportation_ratio,effective_transport_ratio,bin0_0_1000,bin0_1000_2000,bin0_2000_2500,bin0_2500_plus,bin0_2500_3000,bin0_3000_4000,bin0_4000_6000,bin0_6000_7100,bin1_0_1000,bin1_1000_2000,bin1_2000_2500,bin1_2500_plus,bin1_2500_3000,bin1_3000_4000,bin1_4000_6000,bin1_6000_7100,bin2_0_1000,bin2_1000_2000,bin2_2000_2500,bin2_2500_plus,bin2_2500_3000,bin2_3000_4000,bin2_4000_6000,bin2_6000_7100,bin3_0_1000,bin3_1000_2000,bin3_2000_2500,bin3_2500_plus,bin3_2500_3000,bin3_3000_4000,bin3_4000_6000,bin3_6000_7100,bin4_0_1000,bin4_1000_2000,bin4_2000_2500,bin4_2500_plus,bin4_2500_3000,bin4_3000_4000,bin4_4000_6000,bin4_6000_7100
results_fl32_pr200_37.5_space0_opt700.0_dem1_dev2_area2_freq1_groups1_RS1.csv,32,200,37.5,0.0,700.0,1,2,2,1,1,1,2728,902,924,383,299,220,986,487,499,902,410,492,0.9148073022312372,0.8418891170431212,0.9859719438877756,0.3614369501466276,0.3317438692098092,0.396031746031746,0.3306451612903225,0.279291553133515,0.3904761904761905,0.4624746450304259,0.0780287474332648,0.8376753507014028,0.4944567627494456,0.9073170731707316,0.1504065040650406,4.474274864516308,8.32134429466911,0.7197201300786026,3.792018748128828,7.621255274748465,0.6009883092791257,0.0,0.0,0.0,0.0,0.0,0.0,1.4353677688768554,1.4795938391404666,1.398512710323845,289,166.65772998573186,10185.46298077417,0.8841547726366467,318.2957181491928,41.704281850807206,0.1158452273633533,3799.1083413483766,1380.4056685983635,1328.7032909622092,1089.9993817878037,1.5303832246101594,3.3664961290116544,5.175639519780437,13.14570360328158,10.481102508914788,15.700977696087602,3.121107266435986,0,0.0,2418.702672750013,3036.5795083685152,0.6366500913979117,0.7992874210296342,98,482,31,291,29,88,156,18,74,451,30,369,26,108,211,24,65,269,10,39,9,14,16,0,54,199,3,43,9,14,20,0,220,0,0,0,0,0,0,0
results_fl32_pr200_37.5_space0_opt700.0_dem1_dev2_area2_freq1_groups1_RS10.csv,32,200,37.5,0.0,700.0,1,2,2,1,1,10,2728,869,961,362,298,238,951,439,512,869,369,500,0.9137749737118822,0.8405466970387244,0.9765625,0.3486070381231672,0.2990463215258855,0.4063492063492063,0.3185483870967742,0.2513623978201635,0.3968253968253968,0.4395373291272345,0.0706150341685649,0.755859375,0.5189873417721519,0.9159891598915988,0.226,4.668101948882926,8.470951944667688,1.4074551751534132,4.0200796026176295,7.876507228098251,1.1740360150129394,0.0,0.0,0.0,0.0,0.0,0.0,1.4245687204212252,1.472116976620519,1.3894781073461495,273,179.4876424192024,10331.866168162614,0.8968633826530047,322.8708177550817,37.1291822449183,0.1031366173469952,3898.2897756731786,1433.1970915951313,1340.0268756269952,1125.065808451052,1.64924866696793,3.5962847994137386,5.466321965435466,14.27944972774058,10.991743998697196,16.371778002719385,3.183150183150183,0,0.0,2465.092684078048,3125.1714906905377,0.6323523457545845,0.8016775741487472,60,470,31,308,36,76,179,17,61,512,33,355,21,91,216,27,48,260,8,46,13,12,19,2,46,217,8,27,2,11,13,1,238,0,0,0,0,0,0,0
results_fl32_pr200_37.5_space0_opt700.0_dem1_dev2_area2_freq1_groups1_RS11.csv,32,200,37.5,0.0,700.0,1,2,2,1,1,11,2728,853,959,352,320,244,925,434,491,853,373,480,0.9221621621621622,0.8594470046082949,0.9775967413441956,0.3390762463343108,0.2956403269754768,0.3896825396825397,0.312683284457478,0.2540871934604904,0.3809523809523809,0.4875675675675676,0.1543778801843318,0.7820773930753564,0.4712778429073857,0.8203753351206434,0.2,4.62712851345695,8.330015405814407,1.3541083275442447,3.9049015713522928,7.437496467456268,1.1597809541715025,0.0,0.0,0.0,0.0,0.0,0.0,1.4304761196972082,1.4667203169612504,1.4023113580732776,274,167.9934075480837,10369.846120029928,0.9001602534748201,324.05769125093525,35.94230874906475,0.0998397465251798,3923.0307540134622,1433.93990456854,1340.3670177953354,1148.7238316495868,1.6810549877708558,3.613052466829284,5.54594728057487,14.317630489100226,11.029005481842852,16.520106891573175,3.113138686131387,0,0.0,2489.0908494449222,3081.9337542053745,0.6344816050443791,0.7856002023569144,67,467,18,301,24,83,170,24,79,486,20,374,40,93,216,25,44,258,9,41,5,21,14,1,46,221,7,46,10,10,24,2,244,0,0,0,0,0,0,0
results_fl32_pr200_37.5_space0_opt700.0_dem1_dev2_area2_freq1_groups1_RS12.csv,32,200,37.5,0.0,700.0,1,2,2,1,1,12,2728,878,927,396,301,226,984,486,498,878,397,481,0.8922764227642277,0.8168724279835391,0.9658634538152612,0.3607038123167155,0.3310626702997275,0.3952380952380952,0.3218475073313783,0.2704359673024523,0.3817460317460317,0.4451219512195122,0.1213991769547325,0.7610441767068273,0.5011389521640092,0.8513853904282116,0.212058212058212,5.447288981896905,9.49377292961026,1.498310671477838,4.538687214489608,8.590681015792681,1.194318110295595,0.0,0.0,0.0,0.0,0.0,0.0,1.4274886453298463,1.4631632513724953,1.3980441160181367,278,165.75532862509306,10190.211148800843,0.8845669400000732,318.44409840002635,41.55590159997365,0.1154330599999268,3825.545016960375,1384.0952465474843,1306.8716397101866,1134.578130702704,1.5764182762499823,3.463337033269796,5.307336026632334,13.760953298418617,10.696304518377325,16.008203066016677,3.158273381294964,0,0.0,2441.4497704128908,3040.8099152108784,0.6381965862612614,0.7948697248966068,75,468,37,298,35,85,162,16,64,475,24,364,30,88,227,19,52,289,13,42,5,17,19,1,40,223,3,35,11,9,15,0,226,0,0,0,0,0,0,0
results_fl32_pr200_37.5_space0_opt700.0_dem1_dev2_area2_freq1_groups1_RS13.csv,32,200,37.5,0.0,700.0,1,2,2,1,1,13,2728,870,980,358,277,243,946,448,498,870,380,490,0.919661733615222,0.8482142857142857,0.9839357429718876,0.3467741935483871,0.3051771117166212,0.3952380952380952,0.3189149560117302,0.2588555858310626,0.3888888888888889,0.4894291754756871,0.1071428571428571,0.8333333333333334,0.4678160919540229,0.8736842105263158,0.1530612244897959,5.036681649370306,9.653181561047123,0.8836857448899472,4.314561472661966,8.892199854994448,0.7645561965673962,0.0,0.0,0.0,0.0,0.0,0.0,1.438279252786295,1.4907958312281,1.3975521103212218,272,164.09007315604504,10011.734921541029,0.8690742119393252,312.8667162981571,47.13328370184291,0.1309257880606747,3754.230714693462,1374.9836217618554,1297.872333554047,1081.3747593775593,1.5804409445538568,3.4390976503293853,5.290407084555127,13.80231880402008,10.64243922295419,15.973701567210618,3.198529411764706,0,0.0,2379.2470929316064,2992.0149557865657,0.6337508996502564,0.7969715191121034,69,484,29,288,31,84,159,14,94,475,30,381,37,98,216,30,47,262,9,40,6,16,18,0,46,192,11,28,6,8,14,0,243,0,0,0,0,0,0,0
results_fl32_pr200_37.5_space0_opt700.0_dem1_dev2_area2_freq1_groups1_RS14.csv,32,200,37.5,0.0,700.0,1,2,2,1,1,14,2728,874,959,340,303,252,957,454,503,874,371,503,0.9132706374085684,0.8171806167400881,1.0,0.3508064516129032,0.3092643051771117,0.3992063492063492,0.3203812316715542,0.2527247956403269,0.3992063492063492,0.5391849529780565,0.118942731277533,0.9184890656063618,0.4096109839816934,0.8544474393530997,0.0815109343936381,5.14656841323376,10.204865245267092,0.5810281314382781,4.32121004845672,9.392130545115146,0.5810281314382781,0.0,0.0,0.0,0.0,0.0,0.0,1.4217855749916983,1.4611204794682444,1.3927731504175451,272,141.40788443797942,10151.824014569938,0.8812347234869738,317.2445004553106,42.75549954468943,0.1187652765130262,3814.570806556469,1394.08626640826,1357.642063157095,1062.8424769911142,1.5950643780414873,3.5513460626565267,5.4084679399976245,14.024157377045842,10.891880139236726,16.251083090663425,3.213235294117647,0,0.0,2420.484540148209,3103.8764587618025,0.6345365344871537,0.8136895646102236,77,451,26,320,33,104,175,8,57,513,32,357,27,90,212,28,47,248,10,35,7,9,19,0,59,208,3,33,6,14,13,0,252,0,0,0,0,0,0,0
results_fl32_pr200_37.5_space0_opt700.0_dem1_dev2_area2_freq1_groups1_RS15.csv,32,200,37.5,0.0,700.0,1,2,2,1,1,15,2728,859,936,372,301,260,959,454,505,859,354,505,0.8957247132429614,0.7797356828193832,1.0,0.3515395894428152,0.3092643051771117,0.4007936507936508,0.3148826979472141,0.2411444141689373,0.4007936507936508,0.5286757038581856,0.092511013215859,0.9207920792079208,0.409778812572759,0.8813559322033898,0.0792079207920792,5.545278313165519,11.276048841884323,0.3932588675450407,4.419377284385717,10.162851297110404,0.3932588675450407,0.0,0.0,0.0,0.0,0.0,0.0,1.4338942645897803,1.4886906459936486,1.3954825437640983,266,143.00534589246936,10090.160792835795,0.8758820132669963,315.31752477611866,44.68247522388134,0.1241179867330037,3805.7223567761057,1386.6549467507334,1294.4300641570194,1124.637345868353,1.61426652706721,3.54546211199326,5.438815068919757,14.30722690517333,10.878804693318354,16.33421845609125,3.2293233082706765,0,0.0,2419.0674100253723,3045.5519542022103,0.6356394879196092,0.8002559484612931,64,467,29,299,37,75,165,22,71,472,30,363,45,73,218,27,54,263,6,49,8,28,13,0,49,212,7,33,7,12,14,0,260,0,0,0,0,0,0,0
results_fl32_pr200_37.5_space0_opt700.0_dem1_dev2_area2_freq1_groups1_RS16.csv,32,200,37.5,0.0,700.0,1,2,2,1,1,16,2728,870,986,349,282,241,957,456,501,870,369,501,0.9090909090909092,0.8092105263157895,1.0,0.3508064516129032,0.3106267029972752,0.3976190476190476,0.3189149560117302,0.2513623978201635,0.3976190476190476,0.5193312434691745,0.0723684210526315,0.9261477045908184,0.428735632183908,0.9105691056910568,0.0738522954091816,4.9181375853991005,9.912623151594357,0.372258507185457,4.080037851978068,9.114177287590794,0.372258507185457,0.0,0.0,0.0,0.0,0.0,0.0,1.4069371263932575,1.452674708931437,1.3732501644040576,272,147.8465544937255,10323.202081458336,0.8961112917932584,322.60006504557305,37.39993495442695,0.1038887082067415,3893.940936656254,1431.982614026712,1354.7687477867796,1107.1895748427626,1.6459570276169104,3.637577339124864,5.449010665965543,14.31595932594211,11.083505198055253,16.334199947356378,3.198529411764706,0,0.0,2461.9583226295417,3164.692285038633,0.6322536378129139,0.8127222103569371,67,460,31,312,28,77,186,21,69,527,28,362,26,85,218,33,56,239,11,43,12,20,11,0,45,208,5,24,6,10,8,0,241,0,0,0,0,0,0,0
results_fl32_pr200_37.5_space0_opt700.0_dem1_dev2_area2_freq1_groups1_RS17.csv,32,200,37.5,0.0,700.0,1,2,2,1,1,17,2728,850,965,381,298,234,957,461,496,850,357,493,0.8881922675026124,0.7744034707158352,0.9939516129032258,0.3508064516129032,0.3140326975476839,0.3936507936507936,0.3115835777126099,0.2431880108991825,0.3912698412698412,0.4879832810867293,0.1041214750542299,0.844758064516129,0.4505882352941176,0.865546218487395,0.1501014198782961,5.750703159347195,11.099466390700115,0.7793728173034576,4.578327271318575,9.906520118088023,0.7199807271062106,0.0,0.0,0.0,0.0,0.0,0.0,1.427043193615713,1.4829946961617868,1.3865265883237297,266,161.22954381191926,9939.94264756764,0.8628422437124689,310.6232077364888,49.37679226351122,0.1371577562875311,3738.5741914054406,1374.6915474407845,1331.88338293555,1031.9992610291065,1.6172841734597465,3.5639587718550545,5.421033436182854,14.054790193253536,10.919908381900122,16.26321155753051,3.1954887218045114,0,0.0,2363.8826439646564,3029.364956076797,0.6322952342095967,0.810299542280307,77,440,25,308,41,80,168,19,73,485,24,383,37,98,220,28,55,292,7,27,5,11,11,0,44,212,10,32,5,12,14,1,234,0,0,0,0,0,0,0
results_fl32_pr200_37.5_space0_opt700.0_dem1_dev2_area2_freq1_groups1_RS18.csv,32,200,37.5,0.0,700.0,1,2,2,1,1,18,2728,899,943,370,295,221,987,452,535,899,364,535,0.9108409321175278,0.8053097345132744,1.0,0.3618035190615836,0.3079019073569482,0.4246031746031746,0.3295454545454545,0.2479564032697547,0.4246031746031746,0.5146909827760892,0.0530973451327433,0.9046728971962616,0.4349276974416017,0.934065934065934,0.0953271028037383,4.592000297761031,9.722475739832548,0.2574677747398603,3.7961026678713305,8.997118238820056,0.2574677747398603,0.0,0.0,0.0,0.0,0.0,0.0,1.4192517104567648,1.470195621089738,1.3845908067737709,288,156.58755930907083,10577.737538279109,0.9182063835311725,330.5542980712221,29.445701928777908,0.0817936164688275,3975.6318922256,1441.498476783507,1438.191897877557,1095.941517564536,1.603446581516693,3.625240295159464,5.514069397467206,13.80427740356111,11.056089544798809,16.454822366389866,3.1215277777777777,0,0.0,2534.133415442093,3259.091025348356,0.6374165124285334,0.8197667977564901,61,491,20,327,33,82,192,20,69,491,14,369,37,84,223,25,49,272,7,42,4,23,15,0,45,213,3,34,5,9,20,0,221,0,0,0,0,0,0,0
